Algoritmo,TamanhoDaEntrada,ValorMaximo,TempoDeOrdenacao
quick,9400000,940000,1322.0
quick,9400000,940000,1148.0
quick,9400000,940000,1289.0
quick,9400000,940000,1246.0
quick,9400000,940000,1257.0
quick,9400000,940000,1161.0
quick,9400000,940000,1116.0
quick,9400000,940000,1266.0
quick,9400000,940000,1127.0
quick,9400000,940000,1224.0
quick,9400000,940000,1179.0
quick,9400000,940000,1037.0
quick,9400000,940000,1070.0
quick,9400000,940000,1054.0
quick,9400000,940000,1085.0
quick,9400000,940000,1075.0
quick,9400000,940000,1072.0
quick,9400000,940000,1085.0
quick,9400000,940000,1060.0
quick,9400000,940000,1059.0
quick,9400000,940000,1092.0
quick,9400000,940000,1072.0
quick,9400000,940000,1053.0
quick,9400000,940000,1101.0
quick,9400000,940000,1066.0
quick,9400000,940000,1118.0
quick,9400000,940000,1168.0
quick,9400000,940000,1053.0
quick,9400000,940000,1060.0
quick,9400000,940000,1051.0
merge,9400000,940000,1662.0
merge,9400000,940000,1617.0
merge,9400000,940000,1576.0
merge,9400000,940000,1578.0
merge,9400000,940000,1653.0
merge,9400000,940000,1601.0
merge,9400000,940000,1632.0
merge,9400000,940000,1646.0
merge,9400000,940000,1648.0
merge,9400000,940000,1678.0
merge,9400000,940000,1630.0
merge,9400000,940000,1620.0
merge,9400000,940000,1590.0
merge,9400000,940000,1655.0
merge,9400000,940000,1710.0
merge,9400000,940000,1608.0
merge,9400000,940000,1631.0
merge,9400000,940000,1604.0
merge,9400000,940000,1584.0
merge,9400000,940000,1582.0
merge,9400000,940000,1610.0
merge,9400000,940000,1597.0
merge,9400000,940000,1662.0
merge,9400000,940000,1647.0
merge,9400000,940000,1581.0
merge,9400000,940000,1631.0
merge,9400000,940000,1636.0
merge,9400000,940000,1672.0
merge,9400000,940000,1637.0
merge,9400000,940000,1581.0
counting,9400000,940000,574.0
counting,9400000,940000,624.0
counting,9400000,940000,542.0
counting,9400000,940000,605.0
counting,9400000,940000,664.0
counting,9400000,940000,696.0
counting,9400000,940000,577.0
counting,9400000,940000,643.0
counting,9400000,940000,581.0
counting,9400000,940000,547.0
counting,9400000,940000,645.0
counting,9400000,940000,648.0
counting,9400000,940000,508.0
counting,9400000,940000,648.0
counting,9400000,940000,663.0
counting,9400000,940000,625.0
counting,9400000,940000,649.0
counting,9400000,940000,616.0
counting,9400000,940000,662.0
counting,9400000,940000,667.0
counting,9400000,940000,729.0
counting,9400000,940000,712.0
counting,9400000,940000,532.0
counting,9400000,940000,658.0
counting,9400000,940000,667.0
counting,9400000,940000,547.0
counting,9400000,940000,665.0
counting,9400000,940000,661.0
counting,9400000,940000,653.0
counting,9400000,940000,657.0
