Algoritmo,TamanhoDaEntrada,ValorMaximo,TempoDeOrdenacao
quick,9400000,940000,1152.0
quick,9400000,940000,1059.0
quick,9400000,940000,1121.0
quick,9400000,940000,1091.0
quick,9400000,940000,1086.0
quick,9400000,940000,1114.0
quick,9400000,940000,1082.0
quick,9400000,940000,1117.0
quick,9400000,940000,1133.0
quick,9400000,940000,1128.0
quick,9400000,940000,1105.0
quick,9400000,940000,1098.0
quick,9400000,940000,1048.0
quick,9400000,940000,1170.0
quick,9400000,940000,1075.0
quick,9400000,940000,1058.0
quick,9400000,940000,1103.0
quick,9400000,940000,1087.0
quick,9400000,940000,1021.0
quick,9400000,940000,1085.0
quick,9400000,940000,1039.0
quick,9400000,940000,1014.0
quick,9400000,940000,1054.0
quick,9400000,940000,1092.0
quick,9400000,940000,1114.0
quick,9400000,940000,1092.0
quick,9400000,940000,1047.0
quick,9400000,940000,1098.0
quick,9400000,940000,1080.0
quick,9400000,940000,1048.0
quick,9400000,940000,1092.0
quick,9400000,940000,1067.0
quick,9400000,940000,1084.0
quick,9400000,940000,1082.0
quick,9400000,940000,1073.0
quick,9400000,940000,1051.0
quick,9400000,940000,1101.0
quick,9400000,940000,1093.0
quick,9400000,940000,1061.0
quick,9400000,940000,1115.0
quick,9400000,940000,1051.0
quick,9400000,940000,1051.0
quick,9400000,940000,1059.0
quick,9400000,940000,1071.0
quick,9400000,940000,1080.0
quick,9400000,940000,1084.0
quick,9400000,940000,1074.0
quick,9400000,940000,1092.0
quick,9400000,940000,1076.0
quick,9400000,940000,1101.0
quick,9400000,940000,1241.0
quick,9400000,940000,1142.0
quick,9400000,940000,1143.0
quick,9400000,940000,1145.0
quick,9400000,940000,1157.0
quick,9400000,940000,1135.0
quick,9400000,940000,1068.0
quick,9400000,940000,1075.0
quick,9400000,940000,1094.0
quick,9400000,940000,1118.0
quick,9400000,940000,1077.0
quick,9400000,940000,1060.0
quick,9400000,940000,1089.0
quick,9400000,940000,1040.0
quick,9400000,940000,1150.0
quick,9400000,940000,1124.0
quick,9400000,940000,1044.0
quick,9400000,940000,1091.0
quick,9400000,940000,1096.0
quick,9400000,940000,1088.0
quick,9400000,940000,1068.0
quick,9400000,940000,1090.0
quick,9400000,940000,1077.0
merge,9400000,940000,1716.0
merge,9400000,940000,1616.0
merge,9400000,940000,1648.0
merge,9400000,940000,1598.0
merge,9400000,940000,1607.0
merge,9400000,940000,1643.0
merge,9400000,940000,1594.0
merge,9400000,940000,1563.0
merge,9400000,940000,1580.0
merge,9400000,940000,1668.0
merge,9400000,940000,1618.0
merge,9400000,940000,1584.0
merge,9400000,940000,1570.0
merge,9400000,940000,1703.0
merge,9400000,940000,1606.0
merge,9400000,940000,1708.0
merge,9400000,940000,1645.0
merge,9400000,940000,1636.0
merge,9400000,940000,1739.0
merge,9400000,940000,1716.0
merge,9400000,940000,1691.0
merge,9400000,940000,1594.0
merge,9400000,940000,1603.0
merge,9400000,940000,1718.0
merge,9400000,940000,1715.0
merge,9400000,940000,1623.0
merge,9400000,940000,1561.0
merge,9400000,940000,1565.0
merge,9400000,940000,1625.0
merge,9400000,940000,1596.0
merge,9400000,940000,1635.0
merge,9400000,940000,1665.0
merge,9400000,940000,1666.0
merge,9400000,940000,1638.0
merge,9400000,940000,1598.0
merge,9400000,940000,1627.0
merge,9400000,940000,1641.0
merge,9400000,940000,1640.0
merge,9400000,940000,1583.0
merge,9400000,940000,1642.0
merge,9400000,940000,1585.0
merge,9400000,940000,1577.0
merge,9400000,940000,1634.0
merge,9400000,940000,1618.0
merge,9400000,940000,1646.0
merge,9400000,940000,1665.0
merge,9400000,940000,1673.0
merge,9400000,940000,1606.0
merge,9400000,940000,1644.0
merge,9400000,940000,1612.0
merge,9400000,940000,1599.0
merge,9400000,940000,1672.0
merge,9400000,940000,1694.0
merge,9400000,940000,1671.0
merge,9400000,940000,1715.0
merge,9400000,940000,1611.0
merge,9400000,940000,1691.0
merge,9400000,940000,1581.0
merge,9400000,940000,1637.0
merge,9400000,940000,1669.0
merge,9400000,940000,1656.0
merge,9400000,940000,1606.0
merge,9400000,940000,1592.0
merge,9400000,940000,1656.0
merge,9400000,940000,1616.0
merge,9400000,940000,1608.0
merge,9400000,940000,1618.0
merge,9400000,940000,1603.0
merge,9400000,940000,1627.0
merge,9400000,940000,1817.0
merge,9400000,940000,1965.0
merge,9400000,940000,1771.0
merge,9400000,940000,1770.0
counting,9400000,940000,392.0
counting,9400000,940000,555.0
counting,9400000,940000,592.0
counting,9400000,940000,475.0
counting,9400000,940000,540.0
counting,9400000,940000,406.0
counting,9400000,940000,457.0
counting,9400000,940000,590.0
counting,9400000,940000,601.0
counting,9400000,940000,647.0
counting,9400000,940000,684.0
counting,9400000,940000,564.0
counting,9400000,940000,455.0
counting,9400000,940000,-3382.0
counting,9400000,940000,507.0
counting,9400000,940000,512.0
counting,9400000,940000,482.0
counting,9400000,940000,615.0
counting,9400000,940000,476.0
counting,9400000,940000,613.0
counting,9400000,940000,493.0
counting,9400000,940000,542.0
counting,9400000,940000,454.0
counting,9400000,940000,419.0
counting,9400000,940000,359.0
counting,9400000,940000,472.0
counting,9400000,940000,522.0
counting,9400000,940000,527.0
counting,9400000,940000,613.0
counting,9400000,940000,445.0
counting,9400000,940000,537.0
counting,9400000,940000,582.0
counting,9400000,940000,385.0
counting,9400000,940000,380.0
counting,9400000,940000,427.0
counting,9400000,940000,460.0
counting,9400000,940000,561.0
counting,9400000,940000,463.0
counting,9400000,940000,430.0
counting,9400000,940000,626.0
counting,9400000,940000,720.0
counting,9400000,940000,564.0
counting,9400000,940000,450.0
counting,9400000,940000,512.0
counting,9400000,940000,623.0
counting,9400000,940000,544.0
counting,9400000,940000,409.0
counting,9400000,940000,463.0
counting,9400000,940000,423.0
counting,9400000,940000,505.0
counting,9400000,940000,427.0
counting,9400000,940000,414.0
counting,9400000,940000,368.0
counting,9400000,940000,346.0
counting,9400000,940000,324.0
counting,9400000,940000,630.0
counting,9400000,940000,487.0
counting,9400000,940000,458.0
counting,9400000,940000,325.0
counting,9400000,940000,739.0
counting,9400000,940000,437.0
counting,9400000,940000,435.0
counting,9400000,940000,450.0
counting,9400000,940000,400.0
counting,9400000,940000,532.0
counting,9400000,940000,531.0
counting,9400000,940000,395.0
counting,9400000,940000,484.0
counting,9400000,940000,442.0
counting,9400000,940000,485.0
counting,9400000,940000,409.0
counting,9400000,940000,442.0
counting,9400000,940000,445.0
