Algoritmo,TamanhoDaEntrada,ValorMaximo,TempoDeOrdenacao
quick,9400000,940000,1137.0
quick,9400000,940000,1104.0
quick,9400000,940000,1061.0
quick,9400000,940000,1048.0
quick,9400000,940000,1051.0
quick,9400000,940000,1060.0
quick,9400000,940000,1110.0
quick,9400000,940000,1053.0
quick,9400000,940000,1052.0
quick,9400000,940000,1049.0
quick,9400000,940000,1066.0
quick,9400000,940000,1056.0
quick,9400000,940000,1041.0
quick,9400000,940000,1041.0
quick,9400000,940000,1043.0
quick,9400000,940000,1070.0
quick,9400000,940000,1054.0
quick,9400000,940000,1070.0
quick,9400000,940000,1041.0
quick,9400000,940000,1064.0
quick,9400000,940000,1056.0
quick,9400000,940000,1072.0
quick,9400000,940000,1031.0
quick,9400000,940000,1062.0
quick,9400000,940000,1081.0
quick,9400000,940000,1240.0
quick,9400000,940000,1130.0
quick,9400000,940000,1117.0
quick,9400000,940000,1169.0
quick,9400000,940000,1111.0
merge,9400000,940000,1425.0
merge,9400000,940000,1476.0
merge,9400000,940000,1530.0
merge,9400000,940000,1451.0
merge,9400000,940000,1439.0
merge,9400000,940000,1411.0
merge,9400000,940000,1555.0
merge,9400000,940000,1459.0
merge,9400000,940000,1457.0
merge,9400000,940000,1490.0
merge,9400000,940000,1565.0
merge,9400000,940000,1441.0
merge,9400000,940000,1431.0
merge,9400000,940000,1405.0
merge,9400000,940000,1419.0
merge,9400000,940000,1447.0
merge,9400000,940000,1435.0
merge,9400000,940000,1436.0
merge,9400000,940000,1457.0
merge,9400000,940000,1457.0
merge,9400000,940000,1404.0
merge,9400000,940000,1426.0
merge,9400000,940000,1424.0
merge,9400000,940000,1429.0
merge,9400000,940000,1423.0
merge,9400000,940000,1406.0
merge,9400000,940000,1423.0
merge,9400000,940000,1426.0
merge,9400000,940000,1420.0
merge,9400000,940000,1423.0
counting,9400000,940000,466.0
counting,9400000,940000,451.0
counting,9400000,940000,449.0
counting,9400000,940000,463.0
counting,9400000,940000,466.0
counting,9400000,940000,461.0
counting,9400000,940000,450.0
counting,9400000,940000,453.0
counting,9400000,940000,456.0
counting,9400000,940000,454.0
counting,9400000,940000,455.0
counting,9400000,940000,456.0
counting,9400000,940000,450.0
counting,9400000,940000,457.0
counting,9400000,940000,447.0
counting,9400000,940000,450.0
counting,9400000,940000,453.0
counting,9400000,940000,463.0
counting,9400000,940000,488.0
counting,9400000,940000,567.0
counting,9400000,940000,480.0
counting,9400000,940000,474.0
counting,9400000,940000,462.0
counting,9400000,940000,458.0
counting,9400000,940000,460.0
counting,9400000,940000,461.0
counting,9400000,940000,453.0
counting,9400000,940000,453.0
counting,9400000,940000,459.0
counting,9400000,940000,467.0
