Algoritmo,TamanhoDaEntrada,ValorMaximo,TempoDeOrdenacao
quick,9400000,940000,1025.0
quick,9400000,940000,1018.0
quick,9400000,940000,1065.0
quick,9400000,940000,1016.0
quick,9400000,940000,1049.0
quick,9400000,940000,1014.0
quick,9400000,940000,1036.0
quick,9400000,940000,987.0
quick,9400000,940000,1045.0
quick,9400000,940000,1015.0
quick,9400000,940000,1003.0
quick,9400000,940000,1017.0
quick,9400000,940000,1034.0
quick,9400000,940000,1004.0
quick,9400000,940000,1017.0
quick,9400000,940000,1020.0
quick,9400000,940000,1016.0
quick,9400000,940000,1040.0
quick,9400000,940000,1000.0
quick,9400000,940000,1012.0
quick,9400000,940000,1029.0
merge,9400000,940000,1377.0
merge,9400000,940000,1359.0
merge,9400000,940000,1358.0
merge,9400000,940000,1371.0
merge,9400000,940000,1364.0
merge,9400000,940000,1357.0
merge,9400000,940000,1345.0
merge,9400000,940000,1356.0
merge,9400000,940000,1342.0
merge,9400000,940000,1403.0
merge,9400000,940000,1383.0
merge,9400000,940000,1381.0
merge,9400000,940000,1374.0
merge,9400000,940000,1338.0
merge,9400000,940000,1355.0
merge,9400000,940000,1331.0
merge,9400000,940000,1374.0
merge,9400000,940000,1357.0
merge,9400000,940000,1346.0
merge,9400000,940000,1343.0
merge,9400000,940000,1333.0
counting,9400000,940000,388.0
counting,9400000,940000,388.0
counting,9400000,940000,390.0
counting,9400000,940000,386.0
counting,9400000,940000,406.0
counting,9400000,940000,412.0
counting,9400000,940000,388.0
counting,9400000,940000,402.0
counting,9400000,940000,404.0
counting,9400000,940000,388.0
counting,9400000,940000,407.0
counting,9400000,940000,390.0
counting,9400000,940000,405.0
counting,9400000,940000,411.0
counting,9400000,940000,406.0
counting,9400000,940000,399.0
counting,9400000,940000,421.0
counting,9400000,940000,396.0
counting,9400000,940000,390.0
counting,9400000,940000,370.0
counting,9400000,940000,390.0
