Algoritmo,TamanhoDaEntrada,ValorMaximo,TempoDeOrdenacao
quick,9400000,940000,1074.0
quick,9400000,940000,1093.0
quick,9400000,940000,1037.0
quick,9400000,940000,1068.0
quick,9400000,940000,1110.0
quick,9400000,940000,1070.0
quick,9400000,940000,1080.0
quick,9400000,940000,1041.0
quick,9400000,940000,991.0
quick,9400000,940000,1015.0
quick,9400000,940000,1002.0
quick,9400000,940000,1013.0
quick,9400000,940000,1004.0
quick,9400000,940000,1038.0
quick,9400000,940000,1030.0
quick,9400000,940000,1047.0
quick,9400000,940000,1023.0
quick,9400000,940000,1012.0
quick,9400000,940000,988.0
quick,9400000,940000,1010.0
quick,9400000,940000,994.0
quick,9400000,940000,994.0
quick,9400000,940000,1010.0
quick,9400000,940000,979.0
quick,9400000,940000,1021.0
quick,9400000,940000,976.0
quick,9400000,940000,980.0
quick,9400000,940000,1001.0
quick,9400000,940000,1012.0
quick,9400000,940000,1013.0
merge,9400000,940000,1388.0
merge,9400000,940000,1332.0
merge,9400000,940000,1316.0
merge,9400000,940000,1361.0
merge,9400000,940000,1329.0
merge,9400000,940000,1340.0
merge,9400000,940000,1365.0
merge,9400000,940000,1373.0
merge,9400000,940000,1418.0
merge,9400000,940000,1342.0
merge,9400000,940000,1331.0
merge,9400000,940000,1327.0
merge,9400000,940000,1346.0
merge,9400000,940000,1326.0
merge,9400000,940000,1345.0
merge,9400000,940000,1335.0
merge,9400000,940000,1444.0
merge,9400000,940000,1399.0
merge,9400000,940000,1323.0
merge,9400000,940000,1313.0
merge,9400000,940000,1341.0
merge,9400000,940000,1348.0
merge,9400000,940000,1342.0
merge,9400000,940000,1343.0
merge,9400000,940000,1343.0
merge,9400000,940000,1358.0
merge,9400000,940000,1333.0
merge,9400000,940000,1341.0
merge,9400000,940000,1342.0
merge,9400000,940000,1341.0
counting,9400000,940000,401.0
counting,9400000,940000,414.0
counting,9400000,940000,383.0
counting,9400000,940000,386.0
counting,9400000,940000,406.0
counting,9400000,940000,381.0
counting,9400000,940000,378.0
counting,9400000,940000,408.0
counting,9400000,940000,397.0
counting,9400000,940000,394.0
counting,9400000,940000,410.0
counting,9400000,940000,395.0
counting,9400000,940000,387.0
counting,9400000,940000,490.0
counting,9400000,940000,444.0
counting,9400000,940000,394.0
counting,9400000,940000,462.0
counting,9400000,940000,384.0
counting,9400000,940000,373.0
counting,9400000,940000,411.0
counting,9400000,940000,378.0
counting,9400000,940000,381.0
counting,9400000,940000,421.0
counting,9400000,940000,400.0
counting,9400000,940000,401.0
counting,9400000,940000,409.0
counting,9400000,940000,395.0
counting,9400000,940000,393.0
counting,9400000,940000,409.0
counting,9400000,940000,380.0
